budget,difficulty,policy,alloc,expected_accuracy
32,0.5,BEST-SINGLE,V,1.0
32,0.5,SNELL,P=32.0;S=0.0;V=0.0;R=0.0,0.9998
32,0.5,UNIFORM,P=8.0;S=8.0;V=8.0;R=8.0,1.0
64,0.5,ARIS,P=0.0;S=1.0;V=43.0;R=0.0,1.0
64,0.5,BEST-SINGLE,V,1.0
64,0.5,SNELL,P=64.0;S=0.0;V=0.0;R=0.0,1.0
64,0.5,UNIFORM,P=16.0;S=16.0;V=16.0;R=16.0,1.0
1,0.7,ARIS,P=0.0;S=1.0;V=0.0;R=0.0,0.4577
1,0.7,BEST-SINGLE,S,0.4577
1,0.7,SNELL,P=1.0;S=0.0;V=0.0;R=0.0,0.1521
1,0.7,UNIFORM,P=0.2;S=0.2;V=0.2;R=0.2,0.4229
2,0.7,ARIS,P=0.0;S=1.0;V=1.0;R=0.0,0.6611
2,0.7,BEST-SINGLE,V,0.6094
2,0.7,SNELL,P=2.0;S=0.0;V=0.0;R=0.0,0.2811
2,0.7,UNIFORM,P=0.5;S=0.5;V=0.5;R=0.5,0.6016
4,0.7,ARIS,P=0.0;S=1.0;V=3.0;R=0.0,0.8676
4,0.7,BEST-SINGLE,V,0.8474
4,0.7,SNELL,P=4.0;S=0.0;V=0.0;R=0.0,0.4831
4,0.7,UNIFORM,P=1.0;S=1.0;V=1.0;R=1.0,0.7955
8,0.7,ARIS,P=0.0;S=1.0;V=7.0;R=0.0,0.9798
8,0.7,BEST-SINGLE,V,0.9767
8,0.7,SNELL,P=8.0;S=0.0;V=0.0;R=0.0,0.7329
8,0.7,UNIFORM,P=2.0;S=2.0;V=2.0;R=2.0,0.9401
16,0.7,ARIS,P=0.0;S=1.0;V=15.0;R=0.0,0.9995
16,0.7,BEST-SINGLE,V,0.9995
16,0.7,SNELL,P=16.0;S=0.0;V=0.0;R=0.0,0.9286
16,0.7,UNIFORM,P=4.0;S=4.0;V=4.0;R=4.0,0.994
32,0.7,ARIS,P=0.0;S=1.0;V=31.0;R=0.0,1.0
32,0.7,BEST-SINGLE,V,1.0
32,0.7,SNELL,P=32.0;S=0.0;V=0.0;R=0.0,0.9949
32,0.7,UNIFORM,P=8.0;S=8.0;V=8.0;R=8.0,0.9999
64,0.7,ARIS,P=0.0;S=1.0;V=41.0;R=0.0,1.0
64,0.7,BEST-SINGLE,V,1.0
64,0.7,SNELL,P=64.0;S=0.0;V=0.0;R=0.0,1.0
64,0.7,UNIFORM,P=16.0;S=16.0;V=16.0;R=16.0,1.0
1,0.9,ARIS,P=0.0;S=1.0;V=0.0;R=0.0,0.4196
1,0.9,BEST-SINGLE,S,0.4196
1,0.9,SNELL,P=1.0;S=0.0;V=0.0;R=0.0,0.0535
1,0.9,UNIFORM,P=0.2;S=0.2;V=0.2;R=0.2,0.3954
2,0.9,ARIS,P=0.0;S=1.0;V=1.0;R=0.0,0.6444
2,0.9,BEST-SINGLE,V,0.6247
2,0.9,SNELL,P=2.0;S=0.0;V=0.0;R=0.0,0.1042
2,0.9,UNIFORM,P=0.5;S=0.5;V=0.5;R=0.5,0.5714
4,0.9,ARIS,P=0.0;S=1.0;V=3.0;R=0.0,0.8665
4,0.9,BEST-SINGLE,V,0.8591
4,0.9,SNELL,P=4.0;S=0.0;V=0.0;R=0.0,0.1975
4,0.9,UNIFORM,P=1.0;S=1.0;V=1.0;R=1.0,0.7698
8,0.9,ARIS,P=0.0;S=1.0;V=7.0;R=0.0,0.9812
8,0.9,BEST-SINGLE,V,0.9802
8,0.9,SNELL,P=8.0;S=0.0;V=0.0;R=0.0,0.356
8,0.9,UNIFORM,P=2.0;S=2.0;V=2.0;R=2.0,0.9271
16,0.9,ARIS,P=0.0;S=1.0;V=15.0;R=0.0,0.9996
16,0.9,BEST-SINGLE,V,0.9996
16,0.9,SNELL,P=16.0;S=0.0;V=0.0;R=0.0,0.5852
16,0.9,UNIFORM,P=4.0;S=4.0;V=4.0;R=4.0,0.9917
32,0.9,ARIS,P=0.0;S=1.0;V=31.0;R=0.0,1.0
32,0.9,BEST-SINGLE,V,1.0
32,0.9,SNELL,P=32.0;S=0.0;V=0.0;R=0.0,0.828
32,0.9,UNIFORM,P=8.0;S=8.0;V=8.0;R=8.0,0.9999
64,0.9,ARIS,P=0.0;S=1.0;V=40.0;R=0.0,1.0
64,0.9,BEST-SINGLE,V,1.0
64,0.9,SNELL,P=64.0;S=0.0;V=0.0;R=0.0,0.9704
64,0.9,UNIFORM,P=16.0;S=16.0;V=16.0;R=16.0,1.0
